Unnamed: 0,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,BusinessParking,RestaurantsDelivery,WiFi,Caters,BikeParking,RestaurantsPriceRange,BusinessAcceptsCreditCards,OutdoorSeating,WheelchairAccessible,DogsAllowed,GoodForKids,NoiseLevel,Alcohol,HasTV,RestaurantsReservations,Ambience,RestaurantsGoodForGroups,GoodForMeal,RestaurantsAttire,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,ByAppointmentOnly,BYOB,DriveThru,Corkage,Smoking,GoodForDancing,Music,BestNights,CoatCheck,BYOBCorkage,AcceptsInsurance,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,weekhour,environment,atmosphere,ambiance,books,noisy,noise,dessert,cake,tiramisu,food,drink,coffee,price,service,open,close,ceremony,bubble,boba,rainbow,taro,green_tea,oolong_tea,black_tea,red_tea,matcha,herbal,jasmine,taiwanese,Atmosphere_Rating,Food_Rating,Price_Rating,Service_Rating,Tea_Ingredients_Rating,Tea_Types_Rating,Overall,Atmosphere_Rating_n,Food_Rating_n,Price_Rating_n,Service_Rating_n,Tea_Ingredients_Rating_n,Tea_Types_Rating_n,environment_n,atmosphere_n,ambiance_n,books_n,noisy_n,noise_n,dessert_n,cake_n,tiramisu_n,food_n,drink_n,coffee_n,price_n,service_n,open_n,close_n,ceremony_n,bubble_n,boba_n,rainbow_n,taro_n,green_tea_n,oolong_tea_n,black_tea_n,red_tea_n,matcha_n,herbal_n,jasmine_n,taiwanese_n,environment_std,atmosphere_std,ambiance_std,books_std,noisy_std,noise_std,dessert_std,cake_std,tiramisu_std,food_std,drink_std,coffee_std,price_std,service_std,open_std,close_std,ceremony_std,bubble_std,boba_std,rainbow_std,taro_std,green_tea_std,oolong_tea_std,black_tea_std,red_tea_std,matcha_std,herbal_std,jasmine_std,taiwanese_std
0,n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,"1111 E Colonial Dr, Ste 1111",Orlando,FL,32803,28.55346412,-81.3649774,4,197,1,"Coffee & Tea, Food, Hot Dogs, Restaurants, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",None,None,FALSE,TRUE,None,TRUE,None,TRUE,FALSE,TRUE,average,None,None,TRUE,None,None,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:0,11:0-23:0,11:0-23:0,82,4.692765,4.4334064,4.8949914,0,0,3.1526988,4.031389,0,4.3872967,3.3623476,3.6366632,4.049374,3.7887712,3.6744256,4.031016,4.208561,0,4.0373044,4.0305333,0,3.728258,4.512546,3.7280922,3.4760098,0,4.156064,2.5675342,3.9205189,4.4802904,4.511830576,3.626688087,3.7887712,3.6744256,4.003794924,4.06173467,3.944540843,25,110,5,31,287,44,4,19,2,0,0,1,2,0,17,4,106,8,5,31,13,2,0,72,188,0,27,5,1,2,0,19,3,7,7,0.2231111,0.56695145,0.08171129,0,0,0,0.10546327,0,0.45313805,1.4654839,1.1760699,0.89805853,0.734727,1.3141928,0.94217986,0.14631438,0,0.9998046,1.0201482,0,1.0996901,0.25814003,0,0.72451067,0,0.81697726,0.67252713,0.7282892,0.28734252
1,A0F6H8OO3qYAvI2L3OCp1g,Dragon Ball Tea House,1007 W King Edward Avenue,Vancouver,BC,V6H 1Z3,49.2494922,-123.1279258,4,265,1,"Food, Coffee & Tea, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,None,FALSE,None,FALSE,None,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14:0-23:0,14:0-23:0,14:0-23:0,14:0-23:0,14:0-0:0,14:0-0:0,14:0-23:0,65,0,0,3.4767635,4.633135,3.0956476,0,3.8521652,4.831801,0,3.551585,3.702467,3.891314,3.2966192,2.8923936,3.2861354,3.5447345,0,4.169414,4.036525,0,3.9061368,4.3642216,0,4.488986,0,4.385842,4.7898407,4.191476,3.3840039,3.4767635,3.680739992,3.2966192,2.8923936,4.110915241,4.340475563,3.632984516,2,125,22,23,375,62,0,0,2,1,1,0,6,1,0,18,107,5,22,23,18,16,0,258,68,0,49,44,0,5,0,6,1,4,2,0,0,0.8061316,0,0,0,0.80557686,0,0,1.2215627,1.1752082,0.38250384,1.0919393,1.097239,1.2171366,1.102329,0,0.9158342,1.0295342,0,1.0615159,0.64854175,0,0.27562723,0,0.5098418,0,0.71601826,0.9086988
2,rIzmyKEsPZsyhHph5n0Nag,Chewy Boba,106 S Semoran Blvd,Winter Park,FL,32792,28.59658371,-81.30787536,4,51,1,"Desserts, Bubble Tea, Food, Coffee & Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,TRUE,FALSE,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-21:0,75,4.921433,4.776239,0,0,0,0,4.72848,0,0,2.6305356,3.288143,3.5578127,2.4661703,3.378225,0,4.073735,0,4.0175443,4.063132,0,4.9055815,3.554433,0,0,0,2.1480017,0,2.2284143,0,4.848836,3.241171043,2.4661703,3.378225,4.104953151,3.007943,3.507883082,4,14,2,9,92,5,2,2,0,0,0,0,2,0,0,1,13,8,2,9,0,1,0,8,79,0,5,3,0,0,0,1,0,1,0,0.006346226,0.14652014,0,0,0,0,0.043531895,0,0,0,1.287258,1.148053,0.32301152,1.0622911,0,0,0,0.6569923,0.9277028,0,0.06282541,1.1111209,0,0,0,0,0,0,0
3,ALP7rrHJxXIHyzMMPGQ1vw,LittleMoon Cafe and Tea,2899 N High,Columbus,OH,43202,40.0213717,-83.0135194,4.5,17,1,"Coffee & Tea, Desserts, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,TRUE,TRUE,None,TRUE,TRUE,TRUE,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0:0-0:0,13:0-20:30,None,13:0-20:30,13:0-20:30,13:0-20:30,13:0-20:30,37.5,0,4.9026837,0,0,0,0,0,0,4.972923,0,4.444909,0,0,4.955049,0,3.1234603,0,3.529262,3.5146055,0,4.7971525,0,0,0,0,0,0,4.9417343,0,4.9026837,4.444909,,4.955049,3.758747188,4.9417343,4.600624637,2,7,0,2,16,3,0,2,0,0,0,0,0,0,1,0,7,0,0,2,0,1,0,4,9,0,3,0,0,0,0,0,0,3,0,0,0.045041084,0,0,0,0,0,0,0,0,0.5273594,0,0,0.020775318,0,0,0,1.2280515,1.514577,0,0.07646285,0,0,0,0,0,0,0.022202916,0
4,DrQuKhjlSbamzC9F0lXOzQ,Cloud 9,14201 SE Mill Plain Blvd,Vancouver,WA,98684,45.6174166,-122.5260809,3.5,76,1,"Restaurants, Vietnamese, Thai, Noodles, Juice Bars & Smoothies, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,FALSE,FALSE,None,TRUE,FALSE,TRUE,FALSE,TRUE,quiet,beer_and_wine,FALSE,TRUE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: True, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,TRUE,TRUE,FALSE,FALSE,None,None,None,None,None,None,None,None,None,None,0:0-0:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,66,0,4.693145,0,0,0,0,0,0,0,3.487168,2.8104777,0,4.497873,4.1086125,2.3793416,2.9058092,0,2.7662764,3.3709245,0,2.2617836,0,0,0,0,0,0,2.5113592,0,4.693145,3.458372668,4.497873,4.1086125,2.978954133,2.5113592,3.70805275,4,47,3,29,18,1,0,4,0,0,0,0,0,0,0,45,2,0,3,29,5,1,0,8,8,0,2,0,0,0,0,0,0,1,0,0,0.2263676,0,0,0,0,0,0,0,1.4829322,1.2466515,0,0.4969059,1.1416503,1.3651025,0,0,1.1901779,1.2686546,0,0.3689462,0,0,0,0,0,0,0,0
5,MYmjlLFFhlybZF5mU17Cjw,Osio,2901 S Capital Of Texas Hwy,Austin,TX,78746,30.25747655,-97.80757477,4,87,1,"Bubble Tea, Sushi Bars, Restaurants, Food, Korean, Japanese",TRUE,"{garage: False, street: False, validated: False, lot: False, valet: False}",TRUE,no,FALSE,TRUE,None,TRUE,FALSE,None,None,TRUE,quiet,none,FALSE,FALSE,"{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False}",casual,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,12:0-18:0,63,0,4.2779927,3.8713174,0,3.497673,0,0,4.210808,0,3.5477026,3.1973484,0,3.6536162,3.5940514,2.47659,3.4454093,0,3.8462403,3.0246546,0,3.7288575,3.5821755,0,0,0,0,0,0,0,4.19665764,3.518095203,3.6536162,3.5940514,3.708633657,3.5821755,3.7088716,5,71,8,24,58,7,0,4,1,0,1,0,0,1,0,65,6,0,8,24,3,7,0,44,9,0,5,7,0,0,0,0,0,0,0,0,0.5388642,0,0,0,0,0,0,0,1.2880516,0.6770772,0,0.9499266,1.2049302,1.4190371,1.2142392,0,0.9644494,1.1659598,0,1.116817,0.6210526,0,0,0,0,0,0,0
6,e5cE2ffPTJmK6pStlx3b_Q,Pekoe Sip House,"2500 30th St, Ste 100",Boulder,CO,80301,40.026903,-105.253445,4,60,0,"Restaurants, Cafes, Coffee & Tea, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,TRUE,TRUE,None,TRUE,TRUE,average,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: True, upscale: False, classy: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",casual,FALSE,None,None,None,None,None,None,no,None,None,None,None,None,None,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-16:0,None,52,2.886283,3.5891476,3.357236,0,0,0,0,0,0,4.009838,3.351909,3.8215606,0,3.6758277,3.1211562,4.0684795,0,2.9633305,3.6868708,0,0,4.105567,0,0,0,4.9565983,3.6318662,0,0,3.394699633,3.466331435,,3.6758277,3.552881856,4.231343833,3.664216891,6,23,0,16,27,3,1,3,2,0,0,0,0,0,0,4,19,69,0,16,4,2,0,5,22,0,0,1,0,0,0,1,1,0,0,0,0.41924465,0.020463228,0,0,0,0,0,0,1.3865801,1.4272861,1.117116,0,1.4892695,0.99428874,0.6392746,0,0.86120534,1.3172772,0,0,0,0,0,0,0,0,0,0
7,BE2w7p4BSsOTDMoC4Xqctw,Boba Mocha,56 Peachtree St NW,Atlanta,GA,30303,33.75530494,-84.38909665,3.5,24,0,"Bubble Tea, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",None,None,FALSE,TRUE,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,None,None,45,4.8892365,4.9334335,0,0,0,0,0,0,0,3.2656035,2.9495173,3.2968857,1.4790475,4.274792,3.2109382,0,0,3.3741074,3.4917426,0,4.8899198,4.831441,0,0,0,0,0,4.971908,0,4.903968833,2.986703912,1.4790475,4.274792,3.587432306,4.9016745,3.688936508,3,17,1,11,34,2,2,1,0,0,0,0,0,0,0,2,15,6,1,11,1,0,0,8,23,0,3,1,0,0,0,0,0,1,0,0.056891203,0,0,0,0,0,0,0,0,0.36787105,1.1858188,0.9743398,0,0.47208953,0,0,0,1.2857131,1.0664557,0,0.04794755,0,0,0,0,0,0,0,0
8,wHUqPSykTimFhHlRpXdqxw,Baroness,2790 W Broadway,Vancouver,BC,V6K 3Z2,49.2639402,-123.1678526,4.5,52,1,"Desserts, Food, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,None,TRUE,TRUE,None,None,None,TRUE,FALSE,None,quiet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14:0-19:0,14:0-19:0,14:0-20:0,13:0-20:0,14:0-19:0,28,4.8850584,4.9644046,0,0,0,0,0,0,0,0,3.789849,0,2.9627233,4.3088427,0,3.9478135,0,4.2229776,4.5480294,0,4.393116,4.8729095,0,4.592799,0,0,1.5955241,0,4.6882944,4.9247315,3.789849,2.9627233,4.3088427,4.380498609,4.08756428,4.075701565,2,44,4,6,67,5,1,1,0,0,0,0,0,0,0,0,44,0,4,6,0,1,0,25,22,0,20,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1.1055541,0,0.19955106,0.8977986,0,0,0,0.7511901,0.713294,0,0.5992821,0,0,0,0,0,0,0,0.13354683
9,XNPn1KRStDXxy7vc77Bp3w,Seoulju Korean Kitchen & Bar,"9515 N Lamar Blvd, Ste 230",Austin,TX,78753,30.36478975,-97.69449782,4.5,242,1,"Restaurants, Beer, Wine & Spirits, Bars, Bubble Tea, Food, Korean, Dive Bars, Asian Fusion, Cocktail Bars, Karaoke, Nightlife, Pubs",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,FALSE,FALSE,None,TRUE,FALSE,TRUE,FALSE,TRUE,average,full_bar,TRUE,TRUE,"{touristy: False, hipster: None, romantic: False, divey: True, intimate: False, trendy: True, upscale: False, classy: False, casual: True}",TRUE,"{dessert: False, latenight: True, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,TRUE,FALSE,FALSE,None,FALSE,None,FALSE,outdoor,FALSE,"{dj: False, background_music: False, no_music: False, jukebox: False, live: None, video: False, karaoke: None}","{monday: False, tuesday: True, friday: True, wednesday: False, thursday: False, sunday: False, saturday: True}",FALSE,None,None,0:0-0:0,None,None,19:0-23:30,19:0-2:0,19:0-2:0,19:0-23:30,23,4.223808,4.504957,3.7825677,0,0,2.9475775,0,4.2384195,0,4.1869884,3.745131,0,3.8391588,4.14358,3.7375405,2.9905825,0,0,0,0,0,0,0,0,0,0,0,0,0,4.390155384,4.150033054,3.8391588,4.14358,,,4.130731809,50,275,15,95,0,0,5,39,6,0,0,2,0,18,0,252,23,0,15,95,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0825174,0.72441417,0.8508102,0,0,0.3655281,0,0.71460617,0,1.0728254,1.3630974,0,1.0939169,1.1965821,1.0662372,1.3315461,0,0,0,0,0,0,0,0,0,0,0,0,0
