,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,RestaurantsTakeOut,BusinessParking,RestaurantsDelivery,WiFi,Caters,BikeParking,RestaurantsPriceRange,BusinessAcceptsCreditCards,OutdoorSeating,WheelchairAccessible,DogsAllowed,GoodForKids,NoiseLevel,Alcohol,HasTV,RestaurantsReservations,Ambience,RestaurantsGoodForGroups,GoodForMeal,RestaurantsAttire,RestaurantsTableService,HappyHour,BusinessAcceptsBitcoin,ByAppointmentOnly,BYOB,DriveThru,Corkage,Smoking,GoodForDancing,Music,BestNights,CoatCheck,BYOBCorkage,AcceptsInsurance,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,weekhour
0,n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,"1111 E Colonial Dr, Ste 1111",Orlando,FL,32803,28.55346412,-81.3649774,4,197,1,"Coffee & Tea, Food, Hot Dogs, Restaurants, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",None,None,FALSE,TRUE,None,TRUE,None,TRUE,FALSE,TRUE,average,None,None,TRUE,None,None,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:0,11:0-23:0,11:0-23:0,82
1,A0F6H8OO3qYAvI2L3OCp1g,Dragon Ball Tea House,1007 W King Edward Avenue,Vancouver,BC,V6H 1Z3,49.2494922,-123.1279258,4,265,1,"Food, Coffee & Tea, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,None,FALSE,None,FALSE,None,average,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14:0-23:0,14:0-23:0,14:0-23:0,14:0-23:0,14:0-0:0,14:0-0:0,14:0-23:0,65
2,rIzmyKEsPZsyhHph5n0Nag,Chewy Boba,106 S Semoran Blvd,Winter Park,FL,32792,28.59658371,-81.30787536,4,51,1,"Desserts, Bubble Tea, Food, Coffee & Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,TRUE,FALSE,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,FALSE,None,None,None,None,None,None,None,None,None,None,None,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-21:0,75
3,ALP7rrHJxXIHyzMMPGQ1vw,LittleMoon Cafe and Tea,2899 N High,Columbus,OH,43202,40.0213717,-83.0135194,4.5,17,1,"Coffee & Tea, Desserts, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,TRUE,TRUE,None,TRUE,TRUE,TRUE,FALSE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0:0-0:0,13:0-20:30,None,13:0-20:30,13:0-20:30,13:0-20:30,13:0-20:30,37.5
4,DrQuKhjlSbamzC9F0lXOzQ,Cloud 9,14201 SE Mill Plain Blvd,Vancouver,WA,98684,45.6174166,-122.5260809,3.5,76,1,"Restaurants, Vietnamese, Thai, Noodles, Juice Bars & Smoothies, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,FALSE,FALSE,None,TRUE,FALSE,TRUE,FALSE,TRUE,quiet,beer_and_wine,FALSE,TRUE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: False, upscale: False, classy: True, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,TRUE,TRUE,FALSE,FALSE,None,None,None,None,None,None,None,None,None,None,0:0-0:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,66
5,MYmjlLFFhlybZF5mU17Cjw,Osio,2901 S Capital Of Texas Hwy,Austin,TX,78746,30.25747655,-97.80757477,4,87,1,"Bubble Tea, Sushi Bars, Restaurants, Food, Korean, Japanese",TRUE,"{garage: False, street: False, validated: False, lot: False, valet: False}",TRUE,no,FALSE,TRUE,None,TRUE,FALSE,None,None,TRUE,quiet,none,FALSE,FALSE,"{romantic: False, intimate: False, classy: False, hipster: False, divey: False, touristy: False, trendy: False, upscale: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: True, dinner: False, brunch: False, breakfast: False}",casual,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,12:0-18:0,63
6,e5cE2ffPTJmK6pStlx3b_Q,Pekoe Sip House,"2500 30th St, Ste 100",Boulder,CO,80301,40.026903,-105.253445,4,60,0,"Restaurants, Cafes, Coffee & Tea, Food, Bubble Tea",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",None,free,FALSE,TRUE,None,TRUE,TRUE,None,TRUE,TRUE,average,none,TRUE,FALSE,"{touristy: False, hipster: False, romantic: False, divey: False, intimate: False, trendy: True, upscale: False, classy: False, casual: True}",TRUE,"{dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",casual,FALSE,None,None,None,None,None,None,no,None,None,None,None,None,None,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,9:0-16:0,None,52
7,BE2w7p4BSsOTDMoC4Xqctw,Boba Mocha,56 Peachtree St NW,Atlanta,GA,30303,33.75530494,-84.38909665,3.5,24,0,"Bubble Tea, Food",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",None,None,FALSE,TRUE,None,TRUE,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,None,None,45
8,wHUqPSykTimFhHlRpXdqxw,Baroness,2790 W Broadway,Vancouver,BC,V6K 3Z2,49.2639402,-123.1678526,4.5,52,1,"Desserts, Food, Bubble Tea",TRUE,"{garage: False, street: True, validated: False, lot: False, valet: False}",TRUE,None,TRUE,TRUE,None,None,None,TRUE,FALSE,None,quiet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14:0-19:0,14:0-19:0,14:0-20:0,13:0-20:0,14:0-19:0,28
9,XNPn1KRStDXxy7vc77Bp3w,Seoulju Korean Kitchen & Bar,"9515 N Lamar Blvd, Ste 230",Austin,TX,78753,30.36478975,-97.69449782,4.5,242,1,"Restaurants, Beer, Wine & Spirits, Bars, Bubble Tea, Food, Korean, Dive Bars, Asian Fusion, Cocktail Bars, Karaoke, Nightlife, Pubs",TRUE,"{garage: False, street: False, validated: False, lot: True, valet: False}",TRUE,free,FALSE,FALSE,None,TRUE,FALSE,TRUE,FALSE,TRUE,average,full_bar,TRUE,TRUE,"{touristy: False, hipster: None, romantic: False, divey: True, intimate: False, trendy: True, upscale: False, classy: False, casual: True}",TRUE,"{dessert: False, latenight: True, lunch: True, dinner: True, brunch: False, breakfast: False}",casual,TRUE,FALSE,FALSE,None,FALSE,None,FALSE,outdoor,FALSE,"{dj: False, background_music: False, no_music: False, jukebox: False, live: None, video: False, karaoke: None}","{monday: False, tuesday: True, friday: True, wednesday: False, thursday: False, sunday: False, saturday: True}",FALSE,None,None,0:0-0:0,None,None,19:0-23:30,19:0-2:0,19:0-2:0,19:0-23:30,23
